"Region","2010","2000","1990","1980","1970","1960","1950","1940","1930","1920","1910","1900","1890","1880","1870","1860","1850","1840","1830","1820","1810","1800","1790"
"UnitedStates",0.807,0.79,0.78,0.737,0.736,0.699,0.64,0.565,0.561,0.512,0.456,0.396,0.351,0.282,0.257,0.198,"0.154",0.108,0.088,0.072,0.073,0.061,0.051
"Northeast",0.85,0.844,0.84,0.792,0.805,0.802,0.795,0.766,0.776,0.755,0.718,0.661,0.59,0.508,0.443,0.357,"0.269",0.185,0.142,0.11,0.109,0.093,0.081
"Midwest",0.759,0.747,0.739,0.705,0.716,0.687,0.641,0.584,0.579,0.523,0.451,0.386,0.331,0.242,0.208,0.139,"0.092",0.039,0.026,0.011,0.009,0,NA
"South",0.758,0.728,0.715,0.669,0.648,0.585,0.486,0.367,0.341,0.281,0.255,0.183,0.163,0.122,0.122,0.096,"0.083",0.067,0.053,0.046,0.041,0.03,0.021
"West",0.898,0.886,0.876,0.839,0.83,0.777,0.695,0.585,0.584,0.518,0.479,0.399,0.37,0.302,0.258,0.16,"0.064",NA,NA,NA,NA,NA,NA
"Alabama",0.59,0.554,0.568,0.6,0.586,0.548,0.438,0.302,0.281,0.217,0.173,0.119,0.101,0.054,0.063,0.051,"0.046",0.021,0.01,0,0,0,NA
"Alaska",0.66,0.656,0.61,0.643,0.569,0.379,0.266,0.24,0.132,0.056,0.095,0.245,0,0,NA,NA,"",NA,NA,NA,NA,NA,NA
"Arizona",0.898,0.882,0.865,0.838,0.796,0.745,0.555,0.348,0.344,0.361,0.31,0.159,0.094,0.173,0.334,0,"",NA,NA,NA,NA,NA,NA
"Arkansas",0.562,0.525,0.52,0.516,0.5,0.428,0.33,0.222,0.206,0.166,0.129,0.085,0.065,0.046,0.026,0.009,"0",0,0,0,0,NA,NA
"California",0.952,0.944,0.937,0.913,0.909,0.864,0.807,0.71,0.733,0.679,0.618,0.523,0.486,0.429,0.372,0.207,"0.074",NA,NA,NA,NA,NA,NA
"Colorado",0.862,0.845,0.838,0.806,0.785,0.737,0.627,0.526,0.502,0.482,0.503,0.483,0.45,0.314,0.119,0.139,"",NA,NA,NA,NA,NA,NA
"Connecticut",0.88,0.877,0.87,0.788,0.784,0.783,0.776,0.678,0.704,0.678,0.656,0.599,0.509,0.419,0.33,0.265,"0.16",0.126,0.094,0.076,0.061,0.051,0.03
"Delaware",0.833,0.801,0.792,0.706,0.722,0.656,0.626,0.523,0.517,0.542,0.48,0.464,0.422,0.334,0.247,0.189,"0.153",0.107,0,0,0,0,0.013
"Washington, D.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.916,0.93,"0.936",0.909,0.901,0.883,0.85,0.762,NA
"Florida",0.912,0.893,0.88,0.843,0.817,0.739,0.655,0.551,0.517,0.365,0.291,0.203,0.198,0.1,0.081,0.041,"0",0,0,NA,NA,NA,NA
"Georgia",0.751,0.716,0.688,0.624,0.603,0.553,0.453,0.344,0.308,0.251,0.206,0.156,0.14,0.094,0.084,0.071,"0.043",0.036,0.027,0.022,0.021,0.032,0
"Hawaii",0.919,0.915,0.905,0.865,0.831,0.765,0.69,0.625,0.537,0.361,0.307,0.255,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"Idaho",0.706,0.664,0.622,0.54,0.541,0.475,0.429,0.337,0.291,0.276,0.215,0.062,0,0,0,NA,"",NA,NA,NA,NA,NA,NA
"Illinois",0.885,0.878,0.864,0.833,0.832,0.807,0.776,0.736,0.739,0.679,0.617,0.543,0.449,0.306,0.235,0.143,"0.076",0.02,0,0,0,0,NA
"Indiana",0.724,0.708,0.691,0.642,0.649,0.624,0.599,0.551,0.555,0.506,0.424,0.343,0.269,0.195,0.147,0.086,"0.045",0.016,0,0,0,0,NA
"Iowa",0.64,0.611,0.594,0.586,0.572,0.53,0.477,0.427,0.396,0.364,0.306,0.256,0.212,0.152,0.131,0.089,"0.051",0,NA,NA,NA,NA,NA
"Kansas",0.742,0.714,0.695,0.667,0.661,0.61,0.521,0.419,0.388,0.348,0.291,0.224,0.189,0.105,0.142,0.094,"",NA,NA,NA,NA,NA,NA
"Kentucky",0.584,0.558,0.558,0.509,0.523,0.445,0.368,0.298,0.306,0.262,0.243,0.218,0.192,0.152,0.148,0.104,"0.075",0.04,0.024,0.016,0.011,0,0
"Louisiana",0.732,0.726,0.729,0.686,0.665,0.633,0.548,0.415,0.397,0.349,0.3,0.265,0.254,0.255,0.279,0.261,"0.26",0.299,0.214,0.177,0.225,NA,NA
"Maine",0.387,0.402,0.426,0.475,0.508,0.513,0.517,0.405,0.403,0.39,0.353,0.335,0.281,0.226,0.21,0.166,"0.135",0.078,0.032,0.029,0.031,0.024,0
"Maryland",0.872,0.861,0.85,0.803,0.766,0.727,0.69,0.593,0.598,0.6,0.508,0.498,0.476,0.402,0.378,0.34,"0.323",0.242,0.204,0.163,0.122,0.078,0.042
"Massachusetts",0.92,0.914,0.905,0.838,0.846,0.836,0.844,0.894,0.902,0.9,0.89,0.86,0.82,0.747,0.667,0.596,"50.7%[3]",0.379,0.311,0.228,0.213,0.154,0.135
"Michigan",0.746,0.747,0.752,0.707,0.74,0.734,0.707,0.657,0.682,0.611,0.472,0.393,0.349,0.248,0.201,0.133,"0.073",0.043,0,0,0,0,NA
"Minnesota",0.733,0.709,0.69,0.669,0.665,0.622,0.545,0.498,0.49,0.441,0.41,0.341,0.338,0.191,0.161,0.094,"0",NA,NA,NA,NA,NA,NA
"Mississippi",0.493,0.488,0.49,0.473,0.445,0.377,0.279,0.198,0.169,0.134,0.115,0.077,0.054,0.031,0.04,0.026,"0.018",0.01,0.02,0,0,0,NA
"Missouri",0.704,0.694,0.696,0.681,0.701,0.666,0.615,0.518,0.512,0.466,0.423,0.363,0.32,0.252,0.25,0.172,"0.118",0.043,0.035,0,0,NA,NA
"Montana",0.559,0.541,0.564,0.529,0.534,0.502,0.437,0.378,0.337,0.313,0.355,0.347,0.271,0.178,0.151,NA,"",NA,NA,NA,NA,NA,NA
"Nebraska",0.731,0.698,0.672,0.629,0.615,0.543,0.469,0.391,0.353,0.313,0.261,0.237,0.274,0.136,0.18,0,"",NA,NA,NA,NA,NA,NA
"Nevada",0.942,0.915,0.874,0.853,0.809,0.704,0.572,0.393,0.378,0.197,0.163,0.17,0.338,0.311,0.164,0,"",NA,NA,NA,NA,NA,NA
"New Hampshire",0.603,0.593,0.572,0.522,0.564,0.583,0.575,0.576,0.587,0.565,0.518,0.467,0.393,0.3,0.262,0.221,"0.171",0.1,0.05,0.03,0.032,0.029,0.033
"New Jersey",0.947,0.944,0.935,0.89,0.889,0.886,0.866,0.816,0.826,0.799,0.764,0.706,0.626,0.544,0.437,0.327,"0.176",0.106,0.057,0.027,0.024,0,0
"New Mexico",0.774,0.75,0.75,0.721,0.698,0.659,0.502,0.332,0.252,0.18,0.142,0.14,0.062,0.055,0.052,0.053,"0.074",NA,NA,NA,NA,NA,NA
"New York",0.879,0.875,0.874,0.846,0.857,0.854,0.855,0.828,0.836,0.827,0.789,0.729,0.651,0.564,0.5,0.393,"0.292",0.194,0.149,0.117,0.127,0.127,0.115
"North Carolina",0.661,0.602,0.578,0.48,0.455,0.395,0.337,0.273,0.255,0.192,0.144,0.099,0.072,0.039,0.034,0.025,"0.024",0.018,0.014,0.02,0,0,0
"North Dakota",0.599,0.559,0.534,0.488,0.443,0.352,0.266,0.206,0.166,0.136,0.11,0.073,0.056,0.073,0,NA,"",NA,NA,NA,NA,NA,NA
"Ohio",0.779,0.774,0.775,0.733,0.753,0.734,0.702,0.668,0.678,0.638,0.559,0.481,0.411,0.322,0.256,0.171,"0.122",0.055,0.039,0.017,0.011,0,NA
"Oklahoma",0.662,0.653,0.652,0.673,0.68,0.629,0.51,0.376,0.343,0.265,0.192,0.074,0.037,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"Oregon",0.81,0.787,0.749,0.679,0.671,0.622,0.539,0.488,0.513,0.498,0.456,0.322,0.279,0.148,0.091,0.055,"0",NA,NA,NA,NA,NA,NA
"Pennsylvania",0.787,0.771,0.768,0.693,0.715,0.716,0.705,0.665,0.678,0.651,0.604,0.547,0.486,0.416,0.373,0.308,"0.236",0.179,0.153,0.13,0.128,0.113,0.102
"Rhode Island",0.907,0.909,0.899,0.87,0.871,0.864,0.843,0.916,0.924,0.919,0.91,0.883,0.853,0.82,0.746,0.633,"55.6%[4]",0.438,0.312,0.23,0.234,0.208,0.19
"South Carolina",0.663,0.605,0.615,0.541,0.483,0.412,0.367,0.245,0.213,0.175,0.148,0.128,0.101,0.075,0.086,0.069,"0.073",0.057,0.058,0.049,0.06,0.054,0.066
"South Dakota",0.567,0.519,0.503,0.464,0.446,0.393,0.332,0.246,0.189,0.16,0.131,0.102,0.082,0.073,0,NA,"",NA,NA,NA,NA,NA,NA
"Tennessee",0.664,0.636,0.627,0.604,0.591,0.523,0.441,0.352,0.343,0.261,0.202,0.162,0.135,0.075,0.075,0.042,"0.022",0.008,0.008,0,0,0,0
"Texas",0.847,0.825,0.812,0.796,0.797,0.75,0.627,0.454,0.41,0.324,0.241,0.171,0.156,0.092,0.067,0.044,"0.036",NA,NA,NA,NA,NA,NA
"Utah",0.906,0.882,0.868,0.844,0.804,0.749,0.653,0.555,0.524,0.48,0.463,0.381,0.357,0.234,0.185,0.205,"0",NA,NA,NA,NA,NA,NA
"Vermont",0.389,0.382,0.402,0.338,0.322,0.385,0.364,0.343,0.33,0.312,0.278,0.221,0.152,0.1,0.069,0.02,"0.019",0,0,0,0,0,0
"Virginia",0.755,0.73,0.715,0.66,0.632,0.556,0.47,0.353,0.324,0.292,0.231,0.183,0.171,0.125,0.119,0.095,"0.08",0.069,0.048,0.038,0.036,0.026,0.018
"Washington",0.84,0.82,0.799,0.735,0.734,0.681,0.632,0.531,0.566,0.548,0.53,0.408,0.356,0.095,0,0,"0",NA,NA,NA,NA,NA,NA
"West Virginia",0.487,0.461,0.469,0.362,0.391,0.382,0.346,0.281,0.284,0.252,0.187,0.131,0.107,0.087,0.081,0.053,"0.038",0.035,0,0,0,0,0
"Wisconsin",0.702,0.683,0.673,0.642,0.659,0.638,0.579,0.535,0.529,0.473,0.43,0.382,0.332,0.241,0.196,0.144,"0.094",0,0,0,NA,NA,NA
"Wyoming",0.648,0.651,0.671,0.627,0.605,0.568,0.498,0.373,0.311,0.294,0.296,0.288,0.343,0.296,0,NA,"",NA,NA,NA,NA,NA,NA
